bnumber,heat_shock,IPTG,anaerobic,NaCL,log_phase
B0661,-0.790868,-0.197078,0.242861,-1.113015,-1.201213
B0662,-1.660472,-0.221293,0.62999,-0.7565539999999999,0.0
B0663,0.799999,-0.991146,-0.320087,-1.42986,-2.658415
B0667,0.500003,-1.16571,-0.22591,-0.446063,-1.031922
B0674,-3.863615,-0.018501,-0.463158,0.097175,-3.91234
B0675,-2.815543,0.0,0.113953,-0.599181,-1.139041
B0676,-3.23381,-1.15874,0.324672,0.166113,-2.45123
B0677,-2.58214,-0.51754,0.128811,-0.802043,0.0
B0678,-0.957276,0.0,-0.160105,-1.036281,0.5936360000000001
B0679,0.7805879999999999,-1.264202,0.628616,-1.332268,0.985612
B0680,0.364774,-0.044647,-0.006142,-0.620059,-1.185224
B0681,0.0,0.071148,-0.735007,-0.223452,0.0
B0683,-2.026021,0.436721,-0.588192,0.477145,1.071813
B0684,-0.559369,1.019812,-0.020191,0.501308,-1.556723
B0685,-1.260324,0.087967,0.724866,-0.648357,0.0
B0686,-1.473022,0.0,0.210545,-0.172371,0.0
B0687,-2.274077,-0.031235,0.005915,-0.247865,0.349819
B0688,-1.287281,0.339702,-0.493434,0.074395,0.946735
B0695,1.741848,-0.653929,0.613463,2.726316,-0.8605699999999999
B0697,2.03193,-1.192085,0.5405219999999999,3.040231,0.0
B0700,0.3221,0.108381,0.200754,0.421751,0.049425
B0703,2.37107,-0.635798,0.421274,0.309237,0.0
B0705,0.0,1.304921,-0.297956,0.674279,0.0
B0709,-1.245717,0.0,0.5589730000000001,0.306353,0.0
B0710,-3.304633,0.0,-0.164588,0.085522,-1.704161
B0711,0.423385,0.0,0.028166,0.21851,-0.560681
B0712,0.604031,-0.563575,-0.284667,0.24597,-1.470993
B0713,-0.79466,-0.257894,0.238703,0.003582,0.0
B0714,0.0,0.0,-0.009851,0.5321939999999999,-0.640139
B0715,-1.368516,-0.232575,0.80389,-0.279817,-0.870171
B0720,-3.862327,1.017428,-2.914634,-0.251823,1.450696
B0723,0.0,0.316773,-4.577503,-1.725254,1.643556
B0724,0.0,0.026359,-3.351769,-2.400752,1.112056
B0725,0.0,0.821009,-2.681519,-1.077243,1.704706
B0726,-1.446641,0.687921,-2.94229,-0.004049,1.510211
B0727,-0.856719,0.120269,-2.482435,0.113672,0.781871
B0728,0.127559,0.586015,-2.434887,0.599928,1.323551
B0729,-0.14014,0.270135,-2.459547,1.77052,1.04807
B0733,0.82203,-1.096042,0.532585,-0.77114,-1.640547
B0734,0.964438,-0.736007,0.027638,-0.9408840000000001,-0.707816
B0735,0.053973,0.0,-0.470078,0.653573,-1.919293
B0736,-2.067439,0.0,-0.56059,-0.200354,-0.620049
B0737,-0.8103320000000001,0.298466,-0.106126,-0.5400199999999999,-0.953086
B0738,-1.49119,0.0,-0.292032,-2.013863,0.0
B0739,-0.728892,0.0,-0.024858,-0.217971,-1.262597
B0740,-3.92705,0.0,-0.378072,-0.129768,-2.443748
B0741,0.000367,0.09324,-0.205402,-0.710233,-2.954817
B0742,-1.711233,0.376456,-0.649492,-0.205787,-4.000941
B0750,-4.275407,-0.721565,-1.069776,-0.016505,-2.671895
B0751,-3.32,0.0,-1.066992,0.686229,-0.114851
B0752,-1.801975,-1.019206,-0.356271,0.539373,-0.516534
B0753,0.0,-0.923295,0.0,2.131215,0.0
B0754,-5.342714,0.527703,0.534354,0.456306,-2.608672
B0755,1.175784,0.788537,-2.8748,0.207234,0.504118
B0756,-1.500256,1.043179,-0.090022,1.368263,0.844774
B0758,-1.113961,-0.991322,-0.102858,0.000335,0.994339
B0759,-0.00035,-1.421275,0.183434,-0.444817,-1.556062
B0760,1.433499,-0.449275,-1.103323,-0.292842,-0.696387
B0761,-0.194181,-0.034239,0.302716,0.078155,-1.202058
B0763,-0.569957,-0.275323,1.319359,0.530964,2.658861
B0764,-0.07231,0.0,0.0,1.118068,0.0
B0765,-2.96707,0.0,1.162446,0.671297,1.852982
B0766,-1.606969,0.162897,-0.340778,0.114189,-1.423968
B0767,-3.247269,0.0,-0.473028,-0.08447399999999999,0.744727
B0772,-2.33308,0.183726,-0.215874,-1.098724,-1.548774
B0774,2.105515,0.0,0.205492,0.914388,-1.291374
B0775,0.0,0.0,-0.654763,-0.837274,-2.979912
B0776,0.0,0.0,-0.654763,0.0,-2.623522
B0777,0.0,-1.633989,0.0,0.267633,-2.365964
B0778,0.0,0.0,-0.390246,2.533931,-2.642008
B0779,-0.12097,0.040275,0.114545,0.496895,-0.347586
B0780,-0.111345,-0.161063,0.464837,-0.391528,0.0
